ContractID,CounterParty,ContractType,Category,ValueUSD,StartDate,EndDate,Status
CTR-0035,Ironclad Industrial,Customer,Statement of Work,4000000,2024-03-01,2027-03-01,Expiring
CTR-0036,Quartz Sensors,Supplier,Services,500000,2025-10-01,2029-09-30,Renewal
CTR-0037,Northwind Aerospace,Customer,License,50000,2022-10-01,2023-10-01,Renewal
CTR-0038,Summit Sheetmetal,Supplier,NDA,1500000,2023-12-01,2027-11-30,Active
CTR-0039,Meridian Motors,Customer,Statement of Work,1500000,2024-07-01,2028-06-30,Expiring
CTR-0040,Vertex Valves,Supplier,Master Supply,500000,2025-12-01,2029-11-30,Active
CTR-0041,Helios Energy,Customer,Statement of Work,500000,2022-11-01,2024-10-31,Expiring
CTR-0042,Cardinal Components,Supplier,Master Supply,50000,2023-02-01,2024-02-01,Expiring
CTR-0043,BlueLark Medical,Customer,Statement of Work,150000,2024-02-01,2025-01-31,Renewal
CTR-0044,Evergreen Alloys,Supplier,Services,500000,2025-09-01,2026-09-01,Expiring
CTR-0045,Sterling Marine,Customer,License,50000,2022-06-01,2025-05-31,Renewal
CTR-0046,Granite Precision,Supplier,Statement of Work,50000,2023-05-01,2025-04-30,Active
CTR-0047,Cascade Defense Systems,Customer,License,150000,2024-11-01,2025-11-01,Active
CTR-0048,Ironwood Composites,Supplier,Statement of Work,50000,2025-09-01,2028-08-31,Renewal
CTR-0049,Vantage Robotics,Customer,License,4000000,2022-04-01,2023-04-01,Renewal
CTR-0050,Keystone Bearings,Supplier,Statement of Work,50000,2023-11-01,2025-10-31,Active
CTR-0051,Atlas Rail,Customer,Statement of Work,500000,2024-12-01,2027-12-01,Active
CTR-0052,Monarch Machining,Supplier,NDA,4000000,2025-03-01,2029-02-28,Active
CTR-0053,Ironclad Industrial,Customer,Master Supply,50000,2022-03-01,2024-02-29,Expiring
CTR-0054,Orchard Plastics,Supplier,License,500000,2023-07-01,2025-06-30,Active
CTR-0055,Northwind Aerospace,Customer,Statement of Work,4000000,2024-05-01,2025-05-01,Active
CTR-0056,Quartz Sensors,Supplier,NDA,4000000,2025-03-01,2026-03-01,Active
CTR-0057,Meridian Motors,Customer,License,1500000,2022-05-01,2026-04-30,Renewal
CTR-0058,Summit Sheetmetal,Supplier,License,500000,2023-08-01,2025-07-31,Renewal
CTR-0059,Helios Energy,Customer,Statement of Work,1500000,2024-02-01,2025-01-31,Active
CTR-0060,Vertex Valves,Supplier,Services,1500000,2025-11-01,2028-10-31,Active
CTR-0061,BlueLark Medical,Customer,License,4000000,2022-04-01,2023-04-01,Active
CTR-0062,Cardinal Components,Supplier,Statement of Work,150000,2023-04-01,2025-03-31,Active
CTR-0063,Sterling Marine,Customer,Statement of Work,50000,2024-05-01,2025-05-01,Expiring
CTR-0064,Evergreen Alloys,Supplier,License,150000,2025-12-01,2027-12-01,Expiring
CTR-0065,Cascade Defense Systems,Customer,NDA,4000000,2022-09-01,2025-08-31,Active
