title,issuing_body,domain_tag,applicability_tag,source_url,fetch_method,version_label,notes
"International Financial Reporting Standards (IFRS)","IFRS Foundation / IASB","Finance & Accounting","Global","https://www.ifrs.org/issued-standards/list-of-standards/","paywalled","Current","Full IFRS standards require purchase; some summaries are free on ifrs.org"
"Sarbanes-Oxley Act (SOX) - Full Text","U.S. Congress","Finance & Accounting","Federal - public companies","https://www.govinfo.gov/content/pkg/PLAW-107publ204/pdf/PLAW-107publ204.pdf","direct_pdf","2002 (as enacted)","Verified direct PDF from govinfo.gov - official public law text"
"COSO Internal Control - Integrated Framework","Committee of Sponsoring Organizations (COSO)","Finance & Accounting","Industry/Global","https://www.coso.org/guidance-on-ic","paywalled","2013 Framework","COSO framework executive summary is free; full framework requires purchase"
"FAR Part 31 - Contract Cost Principles and Procedures","U.S. General Services Administration","Finance & Accounting","Federal","https://www.acquisition.gov/sites/default/files/current/far/pdf/FAR.pdf","direct_pdf","2025 Edition","Same FAR.pdf as above - Part 31 begins at the relevant page within the full text"
"Uniform Guidance (2 CFR 200) - Federal Grants","U.S. Office of Management and Budget","Finance & Accounting","Federal - grant recipients","https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200","manual_required","Current","eCFR HTML format, not single PDF"
"PCAOB Auditing Standards","Public Company Accounting Oversight Board","Finance & Accounting","Federal - public companies","https://pcaobus.org/oversight/standards/auditing-standards","manual_required","Current","Published per-standard as individual pages, not one consolidated PDF"
"Uniform Commercial Code (UCC)","Uniform Law Commission","Legal & Compliance","US - state law","https://www.law.cornell.edu/ucc","manual_required","Current","Published by article on Cornell LII - no single consolidated PDF"
"Foreign Corrupt Practices Act (FCPA) - Resource Guide","U.S. DOJ / SEC","Legal & Compliance","Federal","https://www.justice.gov/criminal/criminal-fraud/file/1292051/dl","direct_pdf","2020 (2nd edition)","Verified direct PDF from justice.gov - FCPA Resource Guide"
"Export Administration Regulations (EAR)","U.S. Dept. of Commerce / BIS","Legal & Compliance","Federal","https://www.bis.gov/regulations","manual_required","Current","Published as eCFR Title 15, multiple parts - no single PDF"
"International Traffic in Arms Regulations (ITAR)","U.S. Dept. of State","Legal & Compliance","Federal/Defense","https://www.ecfr.gov/current/title-22/chapter-I/subchapter-M","manual_required","Current","eCFR HTML format, Title 22 Parts 120-130"
"General Data Protection Regulation (GDPR) - Full Text","European Union","Legal & Compliance","EU/Global reach","https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679","direct_pdf","2016/679","Verified direct PDF from eur-lex.europa.eu - official EU legal text"
"California Consumer Privacy Act (CCPA/CPRA)","State of California","Legal & Compliance","US - state law","https://oag.ca.gov/privacy/ccpa","manual_required","CPRA amended","Published as web pages with linked statute text, not single PDF"
"False Claims Act - DOJ Guidance","U.S. DOJ","Legal & Compliance","Federal - government contractors","https://www.justice.gov/civil/false-claims-act","manual_required","Current","Statute text available via uscode.house.gov; DOJ guidance is web-based"
"Fair Labor Standards Act (FLSA)","U.S. Dept. of Labor","HR","Federal","https://www.dol.gov/agencies/whd/flsa","manual_required","Current","DOL publishes FLSA as web pages with fact sheets, not one PDF"
"Family and Medical Leave Act (FMLA) - Employer Guide","U.S. Dept. of Labor","HR","Federal","https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/fmlaEmployerGuide.pdf","direct_pdf","Employer Guide","Verified direct PDF from dol.gov"
"Americans with Disabilities Act (ADA) - Full Text","U.S. EEOC / DOJ","HR","Federal","https://www.ada.gov/law-and-regs/ada/","manual_required","As amended","Published as web page with statute sections, not single PDF"
"EEO-1 Component 1 Instruction Booklet","U.S. EEOC","HR","Federal","https://www.eeoc.gov/employers/eeo-1-data-collection","manual_required","Current reporting year","Updated annually - check current year's booklet PDF link on EEOC site"
"Service Contract Act (SCA) - Wage Determinations","U.S. Dept. of Labor","HR","Federal contractors","https://www.dol.gov/agencies/whd/government-contracts/service-contracts","manual_required","Current","Wage determinations are searched per-contract on sam.gov, not a single document"
"NIST SP 800-53 Rev. 5 - Security and Privacy Controls","NIST","IT & Cybersecurity","Federal","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf","direct_pdf","Rev. 5","Verify exact URL at time of fetch - NIST occasionally updates path; fallback to csrc.nist.gov/pubs/sp/800/53/r5/upd1/final"
"NIST SP 800-171 Rev. 3 - Protecting CUI in Nonfederal Systems","NIST","IT & Cybersecurity","Federal/Defense contractors","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf","direct_pdf","Rev. 3","Verify exact URL at time of fetch - check csrc.nist.gov/pubs/sp/800/171/r3/final for latest path"
"CMMC 2.0 Model Overview","U.S. Dept. of Defense","IT & Cybersecurity","Defense contractors","https://dodcio.defense.gov/Portals/0/Documents/CMMC/ModelOverview.pdf","direct_pdf","2.0","Verify URL - DoD CIO occasionally restructures site; fallback to dodcio.defense.gov/CMMC/"
"ISO/IEC 27001 - Information Security Management","ISO/IEC","IT & Cybersecurity","Global","https://www.iso.org/standard/27001","paywalled","2022","ISO standards are not free - must be purchased"
"SOC 2 Trust Services Criteria","AICPA","IT & Cybersecurity","Industry","https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services","paywalled","2017 (rev. 2022 pts of focus)","AICPA criteria document requires purchase/membership"
"OWASP Top 10","OWASP Foundation","IT & Cybersecurity","Industry","https://owasp.org/Top10/","direct_pdf","2021","Free and open - verify current direct PDF link at owasp.org/Top10/ at fetch time"
"CISA Known Exploited Vulnerabilities Catalog","U.S. CISA","IT & Cybersecurity","Federal","https://www.cisa.gov/known-exploited-vulnerabilities-catalog","manual_required","Continuously updated","Published as a live searchable catalog/CSV feed, not a static PDF - consider API integration instead of one-time fetch"
"NIST AI Risk Management Framework (AI RMF 1.0)","NIST","Engineering & Product","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf","direct_pdf","AI RMF 1.0","Verified direct PDF from nvlpubs.nist.gov"
"MIL-STD-882E - System Safety","U.S. Dept. of Defense","Engineering & Product","Defense","https://www.dau.edu/cop/armyesoh/DAU%20Sponsored%20Documents/MIL-STD-882E.pdf","direct_pdf","Rev. E","Verify URL - DAU occasionally relocates documents; search 'MIL-STD-882E pdf dau.edu' if broken"
"CAN-SPAM Act - Compliance Guide for Business","U.S. FTC","Marketing & Sales","Federal","https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business","manual_required","Current","Published as web page, not single PDF"
"FTC Endorsement Guides","U.S. FTC","Marketing & Sales","Federal","https://www.ftc.gov/system/files/ftc_gov/pdf/Final-Endorsement-Guides-and-FAQs.pdf","direct_pdf","2023 revision","Verified direct PDF from ftc.gov"
"GRI Standards Overview","GRI (Global Reporting Initiative)","ESG","Global","https://www.globalreporting.org/standards/","paywalled","GRI 2021","Universal Standards summary free; full standard set requires registration/download agreement"
"TCFD Recommendations Report","Task Force on Climate-Related Financial Disclosures","ESG","Global","https://assets.bbhub.io/company/sites/60/2021/10/FINAL-2017-TCFD-Report.pdf","direct_pdf","2017 (final)","Verified direct PDF - hosted on Bloomberg's bbhub.io asset server"
"SEC Climate-Related Disclosure Rules","U.S. SEC","ESG","Federal - public companies","https://www.sec.gov/files/rules/final/2024/33-11275.pdf","direct_pdf","Final Rule 2024","Verified direct PDF from sec.gov"
"HIPAA Privacy Rule - Full Text","U.S. HHS","Healthcare","Federal","https://www.hhs.gov/sites/default/files/privacysummary.pdf","direct_pdf","Summary","Verified direct PDF from hhs.gov - summary version; full regulatory text is in eCFR Title 45"
"FDA 21 CFR Part 11 - Electronic Records","U.S. FDA","Healthcare","Federal","https://www.ecfr.gov/current/title-21/chapter-I/subchapter-A/part-11","manual_required","Current","eCFR HTML format, not single PDF"
"ICH E6(R2) Good Clinical Practice Guideline","International Council for Harmonisation","Healthcare","Global","https://database.ich.org/sites/default/files/E6_R2_Addendum.pdf","direct_pdf","E6(R2)","Verified direct PDF from ich.org database"
